!SIL 1.0	SIL
<UNK> 1.0	SPN
sol 1.0	s o 5
sol 1.0	s o l
akciğer 1.0	a k dZ i G e r
akciğer 1.0	a k dZ i j e r
üst 1.0	y s t
lobda 1.0	5 o b d a
büyüğü 1.0	b y j y:
büyüğü 1.0	b y j y G y
iki 1.0	i c i
cm 1.0	s a n t i m
cm 1.0	s a n t i m e t r e
çapında 1.0	tS a p 1 n d a
çok 1.0	tS o k
sayıda 1.0	s a j 1 d a
nodüler 1.0	n o d y 5 e r
lezyon 1.0	5 e z j o n
hastanın 1.0	h a s t a n 1 n
kontrol 1.0	k o n t r o l
grafisinde 1.0	gj 1 r a f i s i n d e
radyolojik 1.0	r a d j o 5 o Z i k
regresyon 1.0	r e gj r e s j o n
eğilimi 1.0	e G i l i m i
eğilimi 1.0	e j i l i m i
eğilimi 1.0	i: l i m i
sağlandığı 1.0	s a: 5 a n d 1:
sağlandığı 1.0	s a G 5 a n d 1 G 1
tespit 1.0	t e s p i t
edildi 1.0	e d i l d i
ileri 1.0	i l e r i
takibine 1.0	t a c i b i n e
ve 1.0	v e
tedavisine 1.0	t e d a v i s i n e
yoğun 1.0	j o G u n
yoğun 1.0	j o: u n
bakım 1.0	b a k 1 m
koşullarında 1.0	k o S u 5 5 a r 1 n d a
devam 1.0	d e v a m
devam 1.0	d e v a: m
edilmesi 1.0	e d i l m e s i
daha 1.0	d a h a
uygun 1.0	u j gj u n
olacağı 1.0	o 5 a dZ a:
olacağı 1.0	o 5 a dZ a 1
olacağı 1.0	o 5 a dZ a G 1
için 1.0	i tS i n
nakil 1.0	n a c i l
alındı 1.0	a 5 1 n d 1
lob 1.0	5 o b
apikoposterior 1.0	a p i k o p o s t e r i o r
apikoposterior 1.0	a p i k o p o s t e r i j o r
segmentte 1.0	s e gj m e n t t e
sekel 1.0	s e k e 5
değişiklikler 1.0	d e G i S i c l i c l e r
değişiklikler 1.0	d e j i S i c l i c l e r
değişiklikler 1.0	d i: S i c l i c l e r
kalsifikasyonlar 1.0	k a 5 s i f i k a s j o n 5 a r
her 1.0	h e r
parankiminde 1.0	p a r a n k i m i n d e
subplevral 1.0	s u b p i 5 e v r a 5
subplevral 1.0	s a p p i 5 e v r a 5
alanlarda 1.0	a 5 a n 5 a r d a
alanlarda 1.0	a 5 a n n a r d a
retiküler 1.0	r e t i k y 5 e r
dansite 1.0	d a n s i t e
artışları 1.0	a r t 1 S 5 a r 1
izlenmiştir 1.0	i z l e n m i S t i r
temel 1.0	t e m e l
kan 1.0	k a n
değerlerinde 1.0	d e G e r l e r i n d e
değerlerinde 1.0	d e: r l e r i n d e
ön 1.0	2 n
planda 1.0	p i 5 a n d a
belirgin 1.0	b e l i r gj i n
bir 1.0	b i r
anormallik 1.0	a n o r m a l l i c
izlenmediği 1.0	i z l e n m e d i:
izlenmediği 1.0	i z l e n m e d i G i
mediastende 1.0	m e d i a s t e n d e
patolojik 1.0	p a t o 5 o Z i c
boyutlu 1.0	b o j u t 5 u
lap 1.0	l a p
saptanmadı 1.0	s a p t a n m a d 1
güncel 1.0	gj y n dZ e l
incelemede 1.0	i n dZ e l e m e d e
plevral 1.0	p i 5 e v r a 5
effüzyon 1.0	e f f y z j o n
artmış 1.0	a r t m 1 S
olup 1.0	o 5 u p
komşuluğunda 1.0	k o m S u 5 u G u n d a
komşuluğunda 1.0	k o m S u 5 u: n d a
atelektazik 1.0	a t e 5 e k t a z i k
mevcuttur 1.0	m e v dZ u t t u r
başvurusunda 1.0	b a S v u r u s u n d a
mevcut 1.0	m e v dZ u t
olan 1.0	o 5 a n
bilateral 1.0	b i 5 a t e r a 5
ronküsleri 1.0	r o n k y s 5 e r i
gerileme 1.0	gj e r i l e m e
eğiliminde 1.0	e G i l i m i n d e
eğiliminde 1.0	e j i l i m i n d e
eğiliminde 1.0	i: l i m i n d e
hastamızın 1.0	h a s t a m 1 z 1 n
durumu 1.0	d u r u m u
stabil 1.0	s 1 t a b i 5
seyretmekte 1.0	s e j r e t m e c t e
kardiyoloji 1.0	k a r d i j o 5 o Z i
tarafından 1.0	t a r a f 1 n d a n
da 1.0	d a
değerlendirilmesi 1.0	d e G e r l e n d i r i l m e s i
değerlendirilmesi 1.0	d e: r l e n d i r i l m e s i
sağlanarak 1.0	s a: 5 a n a r a k
sağlanarak 1.0	s a G 5 a n a r a k
yapılan 1.0	j a p 1 5 a n
transtorasik 1.0	t 1 r a n s t o r a s i k
eko 1.0	e k o
ile 1.0	i l e
birlikte 1.0	b i r l i c t e
kardiyak 1.0	k a r d i j a k
medikasyonunun 1.0	m e d i k a s j o n u n u n
düzenlenmesi 1.0	d y z e n l e n m e s i
düzenlenmesi 1.0	d y z e n n e n m e s i
sağlandı 1.0	s a: 5 a n d 1
sağlandı 1.0	s a G 5 a n d 1
sağ 1.0	s a:
sağ 1.0	s a G
alt 1.0	a 5 t
lobta 1.0	5 o b t a
yamalı 1.0	j a m a 5 1
buzlu 1.0	b u z 5 u
cam 1.0	dZ a m
dansitesinde 1.0	d a n s i t e s i n d e
görüntüler 1.0	gj 2 r y n t y l e r
izlendi 1.0	i z l e n d i
veya 1.0	v e j a
farklılık 1.0	f a r k 5 1 5 1 k
sürrenal 1.0	s y r r e n a 5
gland 1.0	gj 1 5 a n d
lateral 1.0	5 a t e r a 5
krusunda 1.0	k 1 r u s u n d a
hipodens 1.0	h i p o d e n s
hemitoraksta 1.0	h e m i t o r a k s t a
dört 1.0	d 2 r t
üç 1.0	y tS
olarak 1.0	o 5 a r a k
ölçülen 1.0	2 l tS y l e n
oskültasyon 1.0	o s k y 5 t a s j o n
solunum 1.0	s o 5 u n u m
sesleri 1.0	s e s l e r i
kabalaşmış 1.0	k a b a 5 a S m 1 S
expiratuvar 1.0	e ks p i r a t u v a r
ronküs 1.0	r o n k y s
göğüs 1.0	gj 2 G y s
göğüs 1.0	gj 2: y s
hastalıkları 1.0	h a s t a 5 1 k 5 a r 1
izolasyon 1.0	i z o 5 a s j o n
servisinde 1.0	s e r v i s i n d e
nt-probnp 1.0	n e t e p 1 r o b e n e b e
nt-probnp 1.0	n e t e p u r o b e n e p e
değerinin 1.0	d e G e r i n i n
değerinin 1.0	d e: r i n i n
de 1.0	d e
yüksek 1.0	j y c s e c
raporlandığı 1.0	r a p o r 5 a n d 1:
raporlandığı 1.0	r a p o r 5 a n d 1 G 1
yirmi 1.0	j i r m i
yedi 1.0	j e d i
on 1.0	o n
bin 1.0	b i n
sıfır 1.0	s 1 f 1 r
tarihleri 1.0	t a r i h l e r i
arasında 1.0	a r a s 1 n d a
refakatli 1.0	r e f a k a t l i
şekilde 1.0	S e c i l d e
servisimizde 1.0	s e r v i s i m i z d e
yatışı 1.0	j a t 1 S 1
crp 1.0	dZ e r e p e
crp 1.0	s i: a r p i:
sinin 1.0	s i n i n
düştüğü 1.0	d y S t y:
düştüğü 1.0	d y S t y G y
hiperat 1.0	h i p e r a t
hiponatremi 1.0	h i p o n a t r e m i
hipokaleminin 1.0	h i p o k a 5 e m i n i n
gerilediği 1.0	gj e r i l e d i:
gerilediği 1.0	gj e r i l e d i G i
hasta 1.0	h a s t a
başvurusuna 1.0	b a S v u r u s u n a
göre 1.0	gj 2 r e
rahat 1.0	r a h a t
olduğunu 1.0	o 5 d u G u n u
olduğunu 1.0	o 5 d u: n u
belirtiyor 1.0	b e l i r t i j o
belirtiyor 1.0	b e l i r t i j o r
aralıklarla 1.0	a r a 5 1 k 5 a r 5 a
mobilize 1.0	m o b i 5 i z e
olabiliyor 1.0	o 5 a b i l i j o
olabiliyor 1.0	o 5 a b i l i j o r
hastadan 1.0	h a s t a d a n
alınan 1.0	a 5 1 n a n
pcr 1.0	p i: s i: a r
testi 1.0	t e s t i
sonucunun 1.0	s o n u dZ u n u n
pozitif 1.0	p o z i t i f
sat 1.0	s a t
düzenli 1.0	d y z e n l i
düzenli 1.0	d y z e n n i
pulse 1.0	p u 5 s e
oksimetre 1.0	o k s i m e t r e
satürasyon 1.0	s a t y r a s j o n
nabız 1.0	n a b 1 z
ateş 1.0	a t e S
tansiyon 1.0	t a n s i j o n
arteriyel 1.0	a r t e r i j e 5
takibi 1.0	t a c i b i
yapıldı 1.0	j a p 1 5 d 1
hastaya 1.0	h a s t a j a
düzenlenen 1.0	d y z e n l e n e n
düzenlenen 1.0	d y z e n n e n e n
antiaritmik 1.0	a n t i a r i t m i k
diğer 1.0	d i G e r
diğer 1.0	d i j e r
medikasyonun 1.0	m e d i k a s j o n u n
devamı 1.0	d e v a: m 1
negatif 1.0	n e gj a t i f
porselen 1.0	p o r s e l e n
safra 1.0	s a f r a
kesesi 1.0	c e s e s i
dahiliye 1.0	d a: h i l i j e
dahiliye 1.0	d a: h i l i: j e
istenmiş 1.0	i s t e n m i S
tetkikleri 1.0	t e t c i c l e r i
tamamlanarak 1.0	t a m a m 5 a n a r a k
ilgili 1.0	i l gj i l i
branş 1.0	b 1 r a n S
önerilere 1.0	2 n e r i l e r e
uyuldu 1.0	u j u 5 d u
radyoloji 1.0	r a d j o 5 o Z i
notları 1.0	n o t 5 a r 1
akciğerde 1.0	a k dZ i G e r d e
akciğerde 1.0	a k dZ i j e r d e
posterior 1.0	p o s t e r i j o r
posterior 1.0	p o s t e r i o r
segment 1.0	s e gj m e n t
orta 1.0	o r t a
milimetrik 1.0	m i l i m e t r i c
